,Ward,Wardcode,hhSocialRented,JobSeekers,Noqual,Carsperhousehold,Districtcode,Population2011Census,Crimerate,Openspace,District,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking
0, Parsloes,00ABFX,26.7,8.7,16.4,0.5,00AB,12786,172.5,19.6,Barking and Dagenham,94.1,76.8,81.8,26.222177050513302,11.2,30.9,23.3,6.6
1, Parsloes,00ABFY,36.8,10.2,31.2,0.8,00AB,10385,93.2,22.4,Barking and Dagenham,94.1,76.8,81.8,26.222177050513302,11.2,30.9,23.3,6.6
2, Parsloes,00ABFZ,29.4,10.2,28.0,0.9,00AB,11545,91.7,3.0,Barking and Dagenham,94.1,76.8,81.8,26.222177050513302,11.2,30.9,23.3,6.6
3, Parsloes,00ABGB,20.0,8.8,29.9,1.1,00AB,10506,72.4,51.1,Barking and Dagenham,94.1,76.8,81.8,26.222177050513302,11.2,30.9,23.3,6.6
4, Parsloes,00ABGC,37.4,10.2,28.9,0.8,00AB,11624,87.6,18.1,Barking and Dagenham,94.1,76.8,81.8,26.222177050513302,11.2,30.9,23.3,6.6
5, Parsloes,00ABGD,54.0,12.2,25.5,0.5,00AB,12452,135.2,20.3,Barking and Dagenham,94.1,76.8,81.8,26.222177050513302,11.2,30.9,23.3,6.6
6, Parsloes,00ABGE,37.3,9.6,30.0,0.8,00AB,11267,82.9,17.1,Barking and Dagenham,94.1,76.8,81.8,26.222177050513302,11.2,30.9,23.3,6.6
7, Parsloes,00ABGF,45.3,12.2,32.1,0.7,00AB,10786,109.4,38.4,Barking and Dagenham,94.1,76.8,81.8,26.222177050513302,11.2,30.9,23.3,6.6
8, Parsloes,00ABGG,13.1,5.6,22.7,1.1,00AB,11478,91.9,30.3,Barking and Dagenham,94.1,76.8,81.8,26.222177050513302,11.2,30.9,23.3,6.6
9, Parsloes,00ABGH,38.6,9.6,32.1,0.8,00AB,10342,83.4,45.8,Barking and Dagenham,94.1,76.8,81.8,26.222177050513302,11.2,30.9,23.3,6.6
10, Parsloes,00ABGJ,36.4,9.5,31.8,0.8,00AB,9839,79.2,17.5,Barking and Dagenham,94.1,76.8,81.8,26.222177050513302,11.2,30.9,23.3,6.6
11, Parsloes,00ABGK,25.7,8.6,29.9,0.8,00AB,10923,92.8,20.8,Barking and Dagenham,94.1,76.8,81.8,26.222177050513302,11.2,30.9,23.3,6.6
12, Parsloes,00ABGL,44.4,9.2,24.1,0.7,00AB,10728,143.8,44.4,Barking and Dagenham,94.1,76.8,81.8,26.222177050513302,11.2,30.9,23.3,6.6
13, Parsloes,00ABGM,37.4,9.5,32.1,0.8,00AB,9867,88.6,16.0,Barking and Dagenham,94.1,76.8,81.8,26.222177050513302,11.2,30.9,23.3,6.6
