,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,District,Ward
0,63.8,81.2,82.4,18.317025440313103,21.9,4.8,6.1,0.4,Bromley,Darwin
1,52.3,80.5,89.6,12.851627137341401,20.1,15.4,44.8,16.7,Kensington and Chelsea,Royal Hospital
2,55.8,78.3,82.3,19.2458440329774,17.0,12.5,13.3,3.1,Hillingdon,Harefield
3,40.0,80.9,89.0,18.3348924228251,14.7,15.0,34.1,8.2,Hammersmith and Fulham,Palace Riverside
4,40.4,82.1,85.7,13.3176654915785,11.8,22.1,51.2,20.2,Kensington and Chelsea,Pembridge
5,51.8,83.2,89.7,15.582621798091399,15.3,32.5,44.4,17.2,Kensington and Chelsea,Cremorne
6,33.3,82.2,83.1,10.7501838685952,15.4,21.8,41.1,15.1,Westminster,Tachbrook
7,51.5,82.2,85.0,15.590608950843698,12.5,21.4,52.8,18.3,Kensington and Chelsea,Campden
8,48.2,81.2,82.8,14.5840967387321,14.5,19.0,48.7,19.3,Kensington and Chelsea,Stanley
9,53.3,78.0,88.4,14.0981258206995,9.7,34.0,44.4,15.5,Kensington and Chelsea,Colville
10,49.7,82.6,86.3,19.1025792015075,19.3,17.1,34.0,8.3,Merton,Village
11,73.9,87.0,88.6,17.4755043227666,14.8,25.6,40.7,14.4,Kensington and Chelsea,Norland
12,58.9,79.0,87.4,20.615490218510498,14.5,15.0,17.2,5.0,Kingston upon Thames,Chessington North and Hook
13,48.2,98.1,92.3,12.590991810737,14.6,23.5,55.6,24.8,Kensington and Chelsea,Hans Town
14,47.3,84.8,90.5,14.0513632763887,13.0,24.4,61.7,26.8,Kensington and Chelsea,Brompton
15,49.6,83.5,92.2,12.5153923653868,9.1,24.8,61.4,28.3,Kensington and Chelsea,Courtfield
16,51.9,85.8,86.0,18.6639812017456,10.2,52.1,46.1,16.9,Kensington and Chelsea,Golborne
17,74.1,79.1,83.9,19.3444085182295,17.7,41.4,37.3,12.7,Kingston upon Thames,St. James
18,60.0,81.0,91.7,13.8242174445806,13.7,21.7,41.6,11.3,Merton,Hillside
