,Wardname,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,District,Ward,PopPlusDistrict,Wardcode,hhSocialRented,JobSeekers,Noqual,Carsperhousehold,Crimerate,Openspace,Districtcode,Combinedlifeexpectancy
0,Bromley - Darwin,5110.0,63.8,81.2,82.4,18.317025440313103,21.9,4.8,6.1,0.4,Bromley,Darwin,"5110, Bromley",00AFGQ,5.5,1.6,21.9,1.7,58.6,88.8,00AF,81.80000000000001
1,Kensington and Chelsea - Royal Hospital,7252.0,52.3,80.5,89.6,12.851627137341401,20.1,15.4,44.8,16.7,Kensington and Chelsea,Royal Hospital,"7252, Kensington and Chelsea",00AWGP,13.6,1.8,9.0,0.8,120.0,43.1,00AW,85.05
2,Hillingdon - Harefield,7399.0,55.8,78.3,82.3,19.2458440329774,17.0,12.5,13.3,3.1,Hillingdon,Harefield,"7399, Hillingdon",00ASGN,24.0,3.2,23.8,1.4,67.4,85.5,00AS,80.3
3,Hammersmith and Fulham - Palace Riverside,7483.0,40.0,80.9,89.0,18.3348924228251,14.7,15.0,34.1,8.2,Hammersmith and Fulham,Palace Riverside,"7483, Hammersmith and Fulham",00ANGK,14.2,1.8,9.9,0.9,82.6,54.7,00AN,84.95
4,Kensington and Chelsea - Pembridge,7659.0,40.4,82.1,85.7,13.3176654915785,11.8,22.1,51.2,20.2,Kensington and Chelsea,Pembridge,"7659, Kensington and Chelsea",00AWGL,12.7,2.7,6.2,0.5,163.4,11.9,00AW,83.9
5,Kensington and Chelsea - Cremorne,7964.0,51.8,83.2,89.7,15.582621798091399,15.3,32.5,44.4,17.2,Kensington and Chelsea,Cremorne,"7964, Kensington and Chelsea",00AWGD,43.4,4.8,15.4,0.5,89.4,29.2,00AW,86.45
6,Westminster - Tachbrook,8158.0,33.3,82.2,83.1,10.7501838685952,15.4,21.8,41.1,15.1,Westminster,Tachbrook,"8158, Westminster",00BKGR,29.3,2.7,12.5,0.4,51.1,32.4,00BK,82.65
7,Kensington and Chelsea - Campden,8178.0,51.5,82.2,85.0,15.590608950843698,12.5,21.4,52.8,18.3,Kensington and Chelsea,Campden,"8178, Kensington and Chelsea",00AWGA,7.0,1.5,4.5,0.7,136.8,27.9,00AW,83.6
8,Kensington and Chelsea - Stanley,8187.0,48.2,81.2,82.8,14.5840967387321,14.5,19.0,48.7,19.3,Kensington and Chelsea,Stanley,"8187, Kensington and Chelsea",00AWGR,13.1,2.0,7.3,0.7,134.7,9.1,00AW,82.0
9,Kensington and Chelsea - Colville,8377.0,53.3,78.0,88.4,14.0981258206995,9.7,34.0,44.4,15.5,Kensington and Chelsea,Colville,"8377, Kensington and Chelsea",00AWGB,45.2,6.4,13.1,0.4,197.2,10.5,00AW,83.2
10,Merton - Village,8491.0,49.7,82.6,86.3,19.1025792015075,19.3,17.1,34.0,8.3,Merton,Village,"8491, Merton",00BAGQ,5.6,0.9,6.8,1.4,60.3,62.2,00BA,84.44999999999999
11,Kensington and Chelsea - Norland,8675.0,73.9,87.0,88.6,17.4755043227666,14.8,25.6,40.7,14.4,Kensington and Chelsea,Norland,"8675, Kensington and Chelsea",00AWGJ,38.5,5.4,14.2,0.6,91.0,15.3,00AW,87.8
12,Kingston upon Thames - Chessington North and Hook,8741.0,58.9,79.0,87.4,20.615490218510498,14.5,15.0,17.2,5.0,Kingston upon Thames,Chessington North and Hook,"8741, Kingston upon Thames",00AXGB,14.8,2.8,21.9,1.3,49.8,27.5,00AX,83.2
13,Kensington and Chelsea - Hans Town,8792.0,48.2,98.1,92.3,12.590991810737,14.6,23.5,55.6,24.8,Kensington and Chelsea,Hans Town,"8792, Kensington and Chelsea",00AWGG,16.4,2.2,9.2,0.6,108.6,8.5,00AW,95.19999999999999
14,Kensington and Chelsea - Brompton,8839.0,47.3,84.8,90.5,14.0513632763887,13.0,24.4,61.7,26.8,Kensington and Chelsea,Brompton,"8839, Kensington and Chelsea",00AWFZ,12.3,1.4,6.6,0.6,291.9,10.8,00AW,87.65
15,Kensington and Chelsea - Courtfield,8933.0,49.6,83.5,92.2,12.5153923653868,9.1,24.8,61.4,28.3,Kensington and Chelsea,Courtfield,"8933, Kensington and Chelsea",00AWGC,9.1,2.7,3.8,0.5,99.4,13.3,00AW,87.85
16,Kensington and Chelsea - Golborne,8937.0,51.9,85.8,86.0,18.6639812017456,10.2,52.1,46.1,16.9,Kensington and Chelsea,Golborne,"8937, Kensington and Chelsea",00AWGF,67.8,12.1,22.5,0.4,129.0,34.6,00AW,85.9
17,Kingston upon Thames - St. James,8969.0,74.1,79.1,83.9,19.3444085182295,17.7,41.4,37.3,12.7,Kingston upon Thames,St. James,"8969, Kingston upon Thames",00AXGJ,9.3,2.3,15.9,1.3,41.6,28.2,00AX,81.5
18,Merton - Hillside,8977.0,60.0,81.0,91.7,13.8242174445806,13.7,21.7,41.6,11.3,Merton,Hillside,"8977, Merton",00BAGE,9.9,1.2,6.4,0.8,52.0,5.7,00BA,86.35
19,Merton - Lower Morden,9090.0,67.7,80.1,86.6,19.1859185918592,15.2,21.9,22.1,5.9,Merton,Lower Morden,"9090, Merton",00BAGH,4.1,3.1,20.9,1.3,36.5,34.3,00BA,83.35
20,Kensington and Chelsea - Earl's Court,9104.0,44.9,82.2,92.6,11.4674868189807,8.8,35.4,61.0,29.6,Kensington and Chelsea,Earl's Court,"9104, Kensington and Chelsea",00AWGE,22.7,5.1,8.4,0.4,105.6,10.0,00AW,87.4
21,Hammersmith and Fulham - College Park and Old Oak,9175.0,46.5,74.4,83.1,20.3596730245232,8.7,50.0,45.7,19.5,Hammersmith and Fulham,College Park and Old Oak,"9175, Hammersmith and Fulham",00ANGD,55.9,7.9,23.0,0.4,133.2,43.8,00AN,78.75
22,Kensington and Chelsea - Redcliffe,9245.0,46.9,81.7,89.1,15.110870740941,10.2,18.8,53.4,21.6,Kensington and Chelsea,Redcliffe,"9245, Kensington and Chelsea",00AWGN,10.4,2.6,5.2,0.6,84.8,28.4,00AW,85.4
23,Kingston upon Thames - Alexandra,9246.0,55.1,80.8,84.4,20.8630759247242,14.8,29.8,27.2,8.2,Kingston upon Thames,Alexandra,"9246, Kingston upon Thames",00AXFX,4.9,2.1,15.8,1.4,49.2,43.5,00AX,82.6
24,Merton - Cannon Hill,9249.0,66.9,79.7,83.6,17.7316466645043,15.8,25.4,29.6,7.7,Merton,Cannon Hill,"9249, Merton",00BAFY,5.5,2.9,17.0,1.2,40.6,42.7,00BA,81.65
25,Westminster - Knightsbridge and Belgravia,9270.0,30.9,89.9,93.4,11.4670981661273,13.2,30.4,59.6,23.9,Westminster,Knightsbridge and Belgravia,"9270, Westminster",00BKGH,3.9,0.4,5.7,0.9,184.9,69.1,00BK,91.65
26,Merton - Dundonald,9275.0,77.3,80.0,90.1,16.485175202156302,9.8,18.1,35.6,7.3,Merton,Dundonald,"9275, Merton",00BAGB,3.7,1.4,7.8,0.8,79.0,15.2,00BA,85.05
27,Kensington and Chelsea - St. Charles,9343.0,59.5,78.9,82.3,19.0516964572407,11.2,37.6,37.8,13.5,Kensington and Chelsea,St. Charles,"9343, Kensington and Chelsea",00AWGQ,58.7,9.4,21.5,0.5,85.1,21.9,00AW,80.6
28,Westminster - Warwick,9369.0,40.7,80.7,95.1,10.7161916960188,11.3,24.0,43.9,15.9,Westminster,Warwick,"9369, Westminster",00BKGT,28.2,4.0,9.4,0.5,162.0,4.0,00BK,87.9
29,Richmond upon Thames - Hampton North,9387.0,47.3,80.7,87.3,19.250026632577,15.7,16.3,20.1,5.4,Richmond upon Thames,Hampton North,"9387, Richmond upon Thames",00BDGB,22.5,2.9,17.6,1.2,64.2,28.2,00BD,84.0
30,Kingston upon Thames - Old Malden,9431.0,62.6,82.4,85.9,19.870639380765603,15.7,30.8,27.3,8.4,Kingston upon Thames,Old Malden,"9431, Kingston upon Thames",00AXGH,9.1,2.3,15.7,1.4,34.0,21.6,00AX,84.15
31,Kingston upon Thames - Berrylands,9437.0,60.4,78.4,83.9,16.9227508742185,14.9,18.1,24.1,6.9,Kingston upon Thames,Berrylands,"9437, Kingston upon Thames",00AXFY,17.4,2.4,11.9,1.0,34.1,10.8,00AX,81.15
32,Merton - Merton Park,9485.0,57.1,84.5,88.5,19.5044807590933,14.6,29.2,35.5,10.1,Merton,Merton Park,"9485, Merton",00BAGJ,3.9,2.5,11.5,1.0,69.5,18.9,00BA,86.5
33,Kensington and Chelsea - Notting Barns,9537.0,67.1,78.9,84.7,20.1740589283842,11.4,42.7,41.6,14.6,Kensington and Chelsea,Notting Barns,"9537, Kensington and Chelsea",00AWGK,55.8,9.3,19.4,0.5,100.5,9.3,00AW,81.80000000000001
34,Kingston upon Thames - Tudor,9578.0,61.7,82.5,86.4,22.937982877427398,13.6,17.6,23.9,6.1,Kingston upon Thames,Tudor,"9578, Kingston upon Thames",00AXGN,7.5,1.9,10.1,1.2,42.7,22.7,00AX,84.45
35,Sutton - Sutton South,9599.0,85.8,77.2,81.7,14.8765496405876,17.5,24.4,29.4,9.7,Sutton,Sutton South,"9599, Sutton",00BFGP,11.9,3.5,15.7,0.9,43.5,8.1,00BF,79.45
36,Westminster - Churchill,9618.0,46.0,74.6,81.9,20.1289249324184,12.8,39.4,44.4,17.4,Westminster,Churchill,"9618, Westminster",00BKGD,49.8,6.8,19.1,0.4,107.2,22.2,00BK,78.25
37,Lambeth - Bishop's,9675.0,38.2,78.0,84.0,11.452196382428902,8.7,42.0,43.0,13.7,Lambeth,Bishop's,"9675, Lambeth",00AYFZ,41.8,6.9,14.5,0.4,311.9,31.6,00AY,81.0
